base,fold,n_treino,n_teste,C_rbf,C_qml,bac_rbf,bac_qml,delta_bac,sobrevivencia_geometrica,erro_frobenius_relativo,alinhamento,posto_efetivo_relativo,tempo_kernel_s
make_moons,1,90,30,10.0,10.0,1.0,0.7,-0.30000000000000004,0.978166751104511,0.021833248895489005,0.09326397444669343,0.1169183117988157,0.8589939089999916
make_moons,2,90,30,10.0,10.0,0.9333333333333333,0.7333333333333334,-0.19999999999999996,0.9800043498795407,0.019995650120459337,0.1050241895686166,0.1151558283236484,0.8883114610000007
make_moons,3,90,30,10.0,10.0,0.9666666666666667,0.8333333333333334,-0.1333333333333333,0.9799350245821212,0.02006497541787876,0.12207247151023266,0.11200618249747343,0.8908940449999818
make_moons,4,90,30,10.0,10.0,0.9333333333333333,0.7666666666666666,-0.16666666666666674,0.9761934327005748,0.023806567299425162,0.0931684212232648,0.11138449803942638,0.8969379060000051
iris_binaria,1,75,25,0.1,1.0,1.0,0.8814102564102564,-0.11858974358974361,0.9793582730503428,0.02064172694965715,0.12958573680814955,0.11544862603056458,0.6781007220000106
iris_binaria,2,75,25,0.1,1.0,1.0,0.7628205128205128,-0.23717948717948723,0.9356505523100281,0.06434944768997188,0.1474379719810348,0.12667361471167213,0.6309506840000267
iris_binaria,3,75,25,0.1,10.0,1.0,0.9198717948717949,-0.08012820512820507,0.980945064387653,0.019054935612346932,0.13421516494080638,0.11560910218974421,0.6402359819999788
iris_binaria,4,75,25,0.1,10.0,1.0,0.7628205128205128,-0.23717948717948723,0.9826103161717019,0.01738968382829813,0.1655345119135513,0.11595381564500348,0.6573570639999957
wine_binario,1,97,33,1.0,10.0,0.9722222222222222,0.9,-0.07222222222222219,0.9780803726705513,0.021919627329448788,0.1673721662247129,0.09941973691278971,1.0264580749999936
wine_binario,2,97,33,1.0,1.0,0.8444444444444444,0.8166666666666667,-0.02777777777777779,0.9778682204597107,0.022131779540289324,0.26109067582748147,0.09512618531514738,1.396370748000038
wine_binario,3,98,32,10.0,10.0,0.9117647058823529,0.8529411764705883,-0.05882352941176461,0.983736004913656,0.016263995086344,0.2235393695465727,0.09574127739644181,1.7655400849999978
wine_binario,4,98,32,0.1,1.0,0.8650793650793651,0.7380952380952381,-0.12698412698412698,0.975096835580444,0.02490316441955603,0.12802485955171555,0.10894425534901049,1.054385056000001
breast_cancer_metodologico,1,120,40,10.0,1.0,0.96,0.8266666666666667,-0.1333333333333333,0.9836071077616004,0.0163928922383996,0.18894584752920404,0.07352194486164856,1.5500551680000285
breast_cancer_metodologico,2,120,40,1.0,10.0,0.9333333333333333,0.9133333333333333,-0.020000000000000018,0.9846147329505128,0.015385267049487145,0.19961782727711788,0.07250519722083455,1.529283023000005
breast_cancer_metodologico,3,120,40,10.0,10.0,0.88,0.7933333333333333,-0.08666666666666667,0.9845419225740771,0.01545807742592292,0.19899469454488491,0.07361451342910694,1.51553483400005
breast_cancer_metodologico,4,120,40,0.1,10.0,0.8933333333333333,0.8400000000000001,-0.05333333333333323,0.9840814098488634,0.015918590151136627,0.1950219192807261,0.07849491656258227,1.49155902199999
