execucao,repeticao,fold_externo,seed,n_treino,n_teste,C_rbf,gamma_rbf,C_quantico,acuracia_rbf,acuracia_quantica,delta_acuracia,acuracia_balanceada_rbf,acuracia_balanceada_quantica,delta_acuracia_balanceada,f1_rbf,f1_quantico,delta_f1,tempo_kernel_s
1,1,1,1051,90,30,10.0,scale,1.0,1.0,0.7666666666666667,-0.23333333333333328,1.0,0.7666666666666666,-0.2333333333333334,1.0,0.8,-0.19999999999999996,0.8924673950000113
2,1,2,2060,90,30,10.0,scale,0.1,0.9333333333333333,0.7333333333333333,-0.20000000000000007,0.9333333333333333,0.7333333333333334,-0.19999999999999996,0.9375,0.7777777777777778,-0.1597222222222222,0.9056083260000207
3,1,3,3069,90,30,10.0,scale,0.1,0.9666666666666667,0.7666666666666667,-0.19999999999999996,0.9666666666666667,0.7666666666666666,-0.20000000000000007,0.967741935483871,0.8,-0.16774193548387095,0.9241818179999939
4,1,4,4078,90,30,10.0,scale,0.1,0.9333333333333333,0.8,-0.1333333333333333,0.9333333333333333,0.8,-0.1333333333333333,0.9333333333333333,0.8125,-0.12083333333333335,0.9084301180000125
5,2,1,5087,90,30,10.0,scale,1.0,0.9666666666666667,0.7666666666666667,-0.19999999999999996,0.9666666666666667,0.7666666666666666,-0.20000000000000007,0.967741935483871,0.7741935483870968,-0.19354838709677424,0.9637342159999776
6,2,2,6096,90,30,10.0,scale,10.0,0.9666666666666667,0.6666666666666666,-0.30000000000000004,0.9666666666666667,0.6666666666666666,-0.30000000000000004,0.9655172413793104,0.6666666666666666,-0.29885057471264376,0.9469293099999732
7,2,3,7105,90,30,10.0,scale,0.1,0.9,0.6666666666666666,-0.2333333333333334,0.9,0.6666666666666667,-0.23333333333333328,0.9090909090909091,0.7058823529411765,-0.20320855614973254,1.1224927050000133
8,2,4,8114,90,30,1.0,scale,1.0,0.9666666666666667,0.7333333333333333,-0.2333333333333334,0.9666666666666667,0.7333333333333334,-0.23333333333333328,0.9655172413793104,0.7647058823529411,-0.20081135902636926,1.2886021740000047
9,3,1,9123,90,30,10.0,scale,10.0,1.0,0.7,-0.30000000000000004,1.0,0.7,-0.30000000000000004,1.0,0.64,-0.36,1.4408826129999852
10,3,2,10132,90,30,1.0,scale,10.0,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0.8333333333333333,0.6666666666666666,-0.16666666666666663,0.8148148148148148,0.6875,-0.12731481481481477,0.9377773549999802
11,3,3,11141,90,30,10.0,scale,10.0,1.0,0.8,-0.19999999999999996,1.0,0.8,-0.19999999999999996,1.0,0.8,-0.19999999999999996,0.8850535479999735
12,3,4,12150,90,30,10.0,scale,1.0,0.9333333333333333,0.7333333333333333,-0.20000000000000007,0.9333333333333333,0.7333333333333334,-0.19999999999999996,0.9333333333333333,0.7647058823529411,-0.16862745098039222,0.9451733180000019
