fonte	doi	ano	periodico	titulo	resumo	autores
DOAJ	10.1186/s12912-026-04555-6	2026	BMC Nursing	NAIL-G: a conceptual best-fit framework for nursing ai literacy and governance anchored in socio-technical safety science	Abstract Background Artificial intelligence is reshaping health care delivery and education, but nurses lack discipline-specific guidance that integrates artificial intelligence literacy with socio-technical safety and governance. Existing AI literacy and digital competence models are often generic and do not reflect nursing standards, work systems or responsibilities for patient safety and equity. Methods A best-fit framework synthesis and concept development were used to integrate scholarship on artificial intelligence literacy, digital competence, socio-technical safety, nursing competency standards and policy guidance on transparent use of artificial intelligence in scholarly work, with extracted constructs mapped to the AACN Essentials and socio-technical work-system dimensions. Results The Nursing Artificial Intelligence Literacy and Governance (NAIL-G) framework comprises five domains covering Foundations & Tools; Quality, Safety & Risk; Professionalism, Ethics & Law; Systems, Equity & Social Impact; and Scholarship, Communication & Governance. It positions artificial intelligence literacy as competency-plus-governance, emphasizing critical judgement, verification, disclosure and equity-aware practice across nursing education, clinical work and scholarly communication. Conclusions NAIL-G offers curriculum designers, educators, regulators and clinical leaders a structured way to embed artificial intelligence capabilities, safeguards and governance expectations across nursing practice and education. The framework can guide integration of artificial intelligence-related learning outcomes, assessment tasks and safety checks into curricula, support reflective use of artificial intelligence in clinical reasoning and documentation, and strengthen nurses’ confidence to raise concerns about unsafe or inequitable systems.	Fatma M. Ibrahim; Ghada Shahrour; Israa A. M. Abuijlan; Amal Mohammed Abdallah; Asmaa Alsuwayed; Abdulkarem Radhi Alanazi
DOAJ	10.3389/fcomm.2026.1888712	2026	Frontiers in Communication	Mapping human–AI communication in a Russian higher education context: a psychometric network analysis of AI literacy and attitudinal dispositions	IntroductionAs generative and chat-based artificial intelligence (AI) systems evolve into communication partners, students' attitudes toward these machine interlocutors have become a central question in communication research. These attitudes are not culturally neutral; they are shaped by the media ecology, linguistic repertoire, and social norms of the communication environment. Drawing on a humanmachine communication framework, this study reconceptualizes AI literacy as communicative competence with machine interlocutors and attitudes toward AI as culturally mediated evaluative orientations. The aim was to map their conditional architecture in the Russian cultural-communicative context.MethodsIn a cross-sectional design, 668 undergraduate students from three Russian universities completed the Russian-adapted Meta Artificial Intelligence Literacy Scale and the General Attitudes towards Artificial Intelligence Scale. A standardized partial correlation network was estimated. Centrality, bridge centrality, network invariance, and community structure were examined.ResultsThe strongest bridge was found between practical interaction with machines (Apply AI) and positive attitude. Exploratory network analysis placed Apply AI within the attitude cluster. Critical evaluation was located at the structural center of the network. Negative attitude remained peripheral. Persuasion and emotion regulation competencies merged into a single ESEM dimension. The network remained invariant across gender and frequency of use.DiscussionThis suggests that machine interaction and its evaluation form an integrated communicative-relational domain. A linguistic-cultural reading of this pattern is offered as a post hoc interpretation. The findings extend the human-machine communication framework to Russian higher education, a setting underrepresented in AI literacy research. They also support the reconceptualization of AI literacy as a communicative-cultural construct.	Alfiya R. Masalimova; Alfiya R. Masalimova; Marina R. Zheltukhina; Servet Demir; Natalia M. Molodozhnikova; Ekaterina V. Zvereva; Iza A. Berechikidze; Yuliya B. Lazareva
DOAJ	10.1080/23311983.2026.2712787	2026	Cogent Arts & Humanities	Exploring university students’ use and perceptions of ChatGPT in English language learning: a tertiary-level case study	The rapid advancement of Artificial Intelligence (AI) has significantly reshaped educational practices across disciplines, particularly in the domain of English language learning (ELL). Among emerging AI-based tools, ChatGPT has gained considerable attention for its capacity to generate human-like text, provide instant feedback, and support autonomous learning. This study investigates the usage patterns of ChatGPT as a tool for English language learning among Bachelor of Arts (BA – New Education Policy) and Master of Arts (MA) Psychology students at the University of Lucknow. Employing a mixed-methods research design, data were collected from 100 students through structured questionnaires and semi-structured interviews. Quantitative findings reveal extensive use of ChatGPT for academic writing, grammar correction, vocabulary development, summarization, and comprehension support. Qualitative insights further highlight students’ use of ChatGPT as a confidence-building, time-saving, and accessible learning aid. However, concerns regarding accuracy, overdependence, ethical use, and academic integrity were also expressed. Comparative analysis indicates that MA Psychology students demonstrate more frequent and strategic use of ChatGPT for advanced academic purposes, whereas BA (NEP) students primarily use it for foundational language support. The study underscores the pedagogical potential of ChatGPT in higher education while emphasizing the need for structured guidance, AI literacy, and ethical frameworks to ensure its effective integration into English language pedagogy.	Romina Singh; Ravindra Pratap Singh; Sakul Kundra
DOAJ	10.3389/feduc.2026.1922260	2026	Frontiers in Education	Generative AI in creative industries education: a decolonial framework for cultural rights-based EDI curricula	Generative artificial intelligence tools are increasingly embedded in fashion, design, and creative industries practice, trained predominantly on Western-dominant visual and stylistic repertoires. Building on UN-facing analysis identifying how AI-driven tools can flatten or appropriate non-Western aesthetic traditions, this article asks what these dynamics mean not for industry practice alone but for how creative industries higher education prepares future practitioners to engage critically with such tools. Current EDI frameworks in creative curricula tend to treat representation and cultural rights as compliance add-ons (diversity statements, casting guidelines) that sit alongside, rather than inside, technical and design training. This article argues that the homogenizing tendencies of generative AI make that separation untenable: algorithmic design tools now actively shape whose aesthetic vocabularies are reproduced, learned, and legitimized within the curriculum itself. Rather than an empirical audit, the article advances a conceptual and normative framework. Drawing on critical scholarship on data and algorithmic colonialism, the cultural-rights jurisprudence of the United Nations Special Rapporteur in the field of cultural rights, and documented cases of bias and appropriation in AI-driven fashion, it theorizes how, and at what cost, cultural rights and creative pluralism are reconfigured at the point where generative AI tools enter design education. On this basis, and through the exemplary case of undergraduate fashion design education, it develops a framework for embedding cultural rights and decolonial critique directly within technical AI literacy in creative curricula, rather than treating them as a parallel EDI layer. The argument is situated within a broader structural moment in creative industries higher education internationally, where the rapid institutional adoption of generative AI tools is reshaping technical training itself, creating both risk and opportunity for how cultural pluralism is taught alongside emerging technology.	Indira Boutier
DOAJ	10.1103/bxql-gzfk	2026	Physical Review Physics Education Research	DeepSeek-assisted physics instructional design: An empirical study of high school physics teaching	Generative artificial intelligence (GenAI) has shown growing potential in supporting teacher education, yet little is known about how preservice teachers collaborate with AI during instructional design (ID). This study examined the effects of DeepSeek, a Chinese large language model, on preservice physics teachers’ ID performance and cognitive processes. A quasiexperimental design was conducted with 220 participants completing a 45-min ID on Newton’s third law, either with or without DeepSeek assistance. Data from IDs, interaction logs, and interviews were analyzed through statistical tests, epistemic network analysis (ENA), and thematic coding. Results indicated that the DeepSeek-assisted group outperformed the control group in analytical and structural aspects of ID, such as teaching content analysis and learner analysis. ENA revealed that high-performing participants exhibited proactive “problem representation–AI interaction–monitoring” patterns, while low-performing participants relied on reactive prompting. Interviews further confirmed that AI was helpful in contextual introductions and experiment design but also revealed issues such as outdated curriculum references and overly absolute expressions that lacked sensitivity to teaching contexts. The findings suggest that GenAI can serve as a cognitive scaffold when used strategically and highlight the need to integrate AI literacy and metacognitive training into teacher education.	Dazhen Tong; Huihui Wu; A. Y. M. Atiquil Islam; Junci Liu; Lei Jiang; Hongmei Ren
DOAJ		2026	Digital Culture & Education	Against the Uncritical Adoption of ‘AI’ Technologies in Academia	Artificial intelligence (AI) companies and their rhetoric infringe on academia in harmful ways, mirroring past uncritical acceptance of industry logics, such as those of tobacco and petroleum. In this position piece, we tease apart and explain why phrases like ‘generative AI’ impede scholarly discussion because by design these expressions are used to dazzle and sidestep scrutiny. Furthermore, we contend with the AI industry’s logics to enable rejecting frames such as: that we must embrace the future, that this hype cycle is unique, that anthropomorphism and circular reasoning hold water when discussing AI systems, and that students are now all cheating or all need to use AI. To these ends, we expound on why universities must take their role seriously to a) counter the AI industry’s marketing, hype, and harm; and to b) safeguard higher education, critical thinking, expertise, academic freedom, and scientific integrity. For each point we raise, we include pointers to relevant work to further inform and convince our colleagues.	Olivia Guest; Marcela Suarez; Barbara C. N. Müller; Edwin van Meerkerk; Arnoud Oude Groote Beverborg; Ronald de Haan; Andrea Reyes Elizondo; Mark Blokpoel; Natalia Scharfenberg; Annelies Kleinherenbrink; Ileana Camerino; Marieke Woensdregt; Annelies Kleinherenbrink; Ileana Camerino; Marieke Woensdregt; Dagmar Monett; Jed Brown; Lucy Avraamidou; Juliette Alenda-Demoutiez; Felienne Hermans; Iris van Rooij
DOAJ	10.1016/j.joitmc.2026.100759	2026	Journal of Open Innovation: Technology, Market and Complexity	Bridging digital capabilities and financial resilience: A comparative study of FinTech, AI literacy, and financial inclusion among households in Malaysia and Indonesia	Digital financial services increasingly operate within AI-mediated commerce ecosystems, yet meaningful participation depends not only on access but on users’ ability to convert digital capabilities into sustained financial behaviour. This study proposes and empirically validates the Behavioural–Capability Model of FinTech Empowerment (BCMFE), an integrative framework that synthesises the Capability Approach, the Cognitive–Behavioural View (CBV), and UTAUT2 to explain how AI literacy, financial literacy, digital financial literacy, FinTech adoption, and financial resilience jointly shape digital financial inclusion (DFI). Using survey data from 1150 respondents in Malaysia and Indonesia and applying Partial Least Squares Structural Equation Modelling with multi-group analysis, the findings reveal three novel insights. First, digital financial literacy and FinTech adoption emerge as dominant capability drivers of inclusion. Second, financial resilience functions as a critical behavioural conversion mechanism linking cognitive and digital capabilities to sustained platform engagement. Third, AI literacy exhibits asymmetric effects across institutional contexts—neutral in Malaysia but negatively associated with inclusion in Indonesia—highlighting the moderating role of regulatory maturity and digital governance. By reframing DFI as a capability-conversion process rather than a linear adoption outcome, the BCMFE advances electronic commerce research and offers a human-centred framework for AI-enabled financial ecosystems in emerging economies.	Mohamad Fazli Sabri; Irwan Trinugroho; Amirah Shazana Magli; Siong Hook Law; Budi Wahyono; Masagus M. Ridhwan; Fadli Septianto
DOAJ	10.3390/bs16071179	2026	Behavioral Sciences	AI-Generated Content Disclosure and Prolonged Short-Video Engagement: A Heuristic-Systematic Risk-Trust Model Among Late-Adolescent and Emerging-Adult TikTok Users	Prolonged short-video engagement in the generative-AI era may be shaped by interface cues that encourage or interrupt repeated continuation decisions in algorithmic feeds. This study examines whether AI-generated content disclosure functions as interface-level digital friction for prolonged short-video engagement among late-adolescent and emerging-adult TikTok users. Prolonged watching intention is treated as a cognitive-behavioral proximal tendency relevant to problematic social media use (PSMU), rather than as a clinical diagnosis or an emotional-disturbance outcome. Drawing on the heuristic-systematic model, we tested a dual-pathway risk-trust model in which disclosure directly affects prolonged watching intention, while perceived risk and content trust operate as mediators and AI literacy operates as a person-level boundary condition. An online between-subjects experiment was conducted with 720 valid participants aged 18–24. Disclosure had a positive direct effect on prolonged watching intention, suggesting that AI labels can initially work as salient curiosity and novelty cues. At the same time, disclosure increased perceived risk and reduced content trust, generating negative indirect pathways that constrained prolonged watching intention. AI literacy strengthened both appraisal pathways. The findings reposition AI disclosure from a mere transparency notice to a behavioral cue that can simultaneously attract attention and activate protective appraisal. They contribute to developmental and media-psychological research on prolonged engagement and PSMU-relevant mechanisms without overstating clinical implications.	Yichen Xiao; Juan Du; Yidan Ding; Minyang Zhang; Yumei Jiang; Yilin Yang; Jie Liu
DOAJ	10.20344/amp.25177	2026	Acta Médica Portuguesa	Postgraduate Education in Artificial Intelligence: A Proposal from the Artificial Intelligence Commission of the Portuguese Medical Association	Artificial intelligence (AI) is entering clinical practice through decision-support systems, predictive tools, generative models, and clinical documentation solutions. Since February 2025, the European AI Act has required providers and deployers of AI systems to ensure that staff and other people operating or using such systems on their behalf have an adequate level of AI literacy. This creates a new educational requirement: physicians need to acquire minimum competencies to use, appraise, supervise, and reject AI outputs when appropriate. This state-of-the-art review examined AI competencies relevant to postgraduate medical training, focusing on literature published since 2022. The reviewed literature suggests thematic convergence around six core domains: foundational AI literacy, critical appraisal of AI tools, safe clinical application, ethics/law/governance, patient communication, and health data literacy. Other domains, such as institutional implementation, multidisciplinary collaboration, and AI leadership, appear as intermediate or advanced competencies. We propose a three-tier curricular organization: baseline competencies for all physicians; proficient competencies for physicians involved in local appraisal and implementation of AI systems; and advanced competencies for clinician-scientists, institutional leaders, and professionals with formal responsibilities in AI governance. In the Portuguese context, this structure may support the development of transversal training for residents and specialists, aligned with technological change, European regulatory requirements, and the need to preserve human clinical responsibility. This proposal should be understood as a conceptual basis for multidisciplinary consensus validation.	João Frutuoso; Ana Rita Maria; Helena Donato; António Vaz Carneiro
DOAJ	10.5709/dialogica-02.s1.2026-06	2026	Dialogica	AI-Assisted Comprehension of Legal English among Bangladeshi LL.B. Students: Uses, Perceived Benefits, Trust, and Verification Practices	Legal English creates linked linguistic and doctrinal challenges for students studying across English and Bangla. This exploratory cross-sectional survey examined how Bangladeshi Bachelor of Laws (LL.B.) students use artificial intelligence (AI)-enabled language tools, what benefits and risks they perceive, and how they verify outputs. An English-language Google Forms questionnaire with closed- and open-ended items was distributed through convenience sampling from 6 May to 14 June 2026. Of 90 exported records, two blank test submissions and one ineligible non-law response were excluded, yielding 87 respondents. Among 86 valid responses, 72 (83.7%) reported difficulty with Legal English at least sometimes, and 83 (96.5%) reported using AI tools at least sometimes. ChatGPT was selected most often (65/86, 75.6%), followed by Google Gemini (36/86, 41.9%) and Google Translate (19/86, 22.1%). Respondents mainly used these tools for English–Bangla translation, simplification, and case-law summarisation. Most respondents perceived improved reading confidence (75/86, 87.2%) and assignment support (76/86, 88.4%), yet 71/86 (82.6%) reported that AI sometimes gives incorrect explanations, and 76/83 (91.6%) endorsed verification against textbooks, statutes, or teachers. Teacher explanation remained the preferred source (46/86, 53.5%). The findings position AI as a linguistic access layer rather than a legal authority. Responsible integration requires tool differentiation, jurisdictional checking, source tracing, privacy safeguards, disclosure, and teacher-guided legal AI literacy. Because the study uses convenience sampling and self-report, it does not establish improved learning outcomes.	Samsun Nahar Nipa; Jannatul Ferdos Taiba
