id,bloco,demanda,pagina,estado_documental,estado_tramitacao,providencia,documento,status
D01-95b2b1,COMUM A TODAS AS AÇOÉS,"AUSÊNCIA DO REPRESENTANTE DOS ALUNOS, TANTO NA ATA(PAG. 5) COMO NA DECLARAÇÃO DE REGULARIDADE(PAG. E) .",5,não examinado,identificado,,,pendente
D02-ab0e4e,COMUM A TODAS AS AÇOÉS,O PLANO DE APLICAÇÃO FINANCEIRA É UMA CÓPIA POR XEROX. SUBSTITUIR PELA VIA ORIGINAL COMO DISPÕE O ITEM 9.8 DO MANUAL DE ORIENTAÇÕES PARA ELABORAÇÃO DE CONTAS DO PLANO DE APLICAÇÃO DOS RECURSOS FINANCEIROS E O ARTIGO 32 DA LEI 8666/93...,,não examinado,identificado,,,pendente
D03-0d50f3,COMUM A TODAS AS AÇOÉS,"AUSÊNCIA DA DATA DO ATESTO NA NOTA FISCAL (PAG. 25, 26,27, 30,31) DO GESTOR DE COMPRAS",25,não examinado,identificado,,,pendente
D04-df5910,COMUM A TODAS AS AÇOÉS,"AUSÊNCIA DOS NÚMEROS DOS CHEQUES E DATAS NO CARIMBO DE “PAGO” MODIFICAR NAS PROPOSTAS DE PREÇOS DAS EMPRESA R. COSTA (PAG. 98), BETH EDUCATIVOS (PAG. 100), MARIA DA PIEDADE BURGOS DE MACEDO ALVES-ME (PAG. 102), A VALIDADE DE 30 PARA 60 DIAS (LEI 8666/93-ARTIGO 64 PARÁGRAFO 3º) E, TAMBÉM, COMO DISPOSTO NO EDITAL (PAGs. 30, 31)",102,não examinado,identificado,,,pendente
D05-6c27f0,COMUM A TODAS AS AÇOÉS,"AUSÊNCIA, NAS NOTAS FISCAIS, DOS RECIBOS DE PAGAMENTO CORRESPONDENTES AO CHEQUES DOS PROFISSIONAIS QUE MINISTRARAM CURSOS DE FORMAÇÃO",,não examinado,identificado,,,pendente
D06-31a612,COMUM A TODAS AS AÇOÉS,AUSÊNCIA DO EDITAL DE LICITAÇÃO QUE SELECIONOU OS PROFISSIONAIS COM PERFIL PARA MINISTRAR CURSOS/FORMAÇÃO TP] 1] DD[DD[D>>—>—>—>—————————— e ee trtto ts E St e em,,não examinado,identificado,,,pendente
D07-0c5d11,COMUM A TODAS AS AÇOÉS,"AUSÊNCIA DOS RELATÓRIOS DE VISITAS RESTANTES (3 RELATÓRIOS) DE COOPERAÇÃO TÉCNICA PARA COMPLETAR A DEMANDA , NA FORMA DO ITEM 6.1.1] DO MANUAL DE ORIENTAÇÕES E PRESTAÇÃO DE CONTAS DO PLANO DE APLICAÇÃO DOS RECURSOS FINANCEIROS ESCOLA NOTA DEZ, º AUSÊNCIA DA RELAÇÃO DA EXECUÇÃO FÍSICO-FINANCEIRA - ANEXO II . AUSÊNCIA DA EXECUÇÃO DA RECEITA E DESPESAS - ANEXO HI º AUSÊNCIA DA RELAÇÃO DE PAGAMENTOS EFETUADOS - ANEXO IV",,não examinado,identificado,,,pendente
D08-888dc4,COMUM A TODAS AS AÇOÉS,| AUSENCIA DA CONCILIAÇÃO BANCÁRIA - ANEXO VI,,não examinado,identificado,,,pendente
D09-89409e,DISPENSA DE LICITAÇÃO Nº 2016003,"| AUSENCIA DA INFORMAÇÃO, SOBRE CARIMBO, DA ANOTAÇÃO DO PAGAMENTO NA NOTA FISCAL Nº 100097 (PAG. 60) - CONVÊNIO E ANO - JUSTIFICAR",60,não examinado,identificado,,,pendente
D10-90a7c6,DISPENSA DE LICITAÇÃO Nº 2016003,"AUSÊNCIA NO RECIBO DE PAGAMENTO, DO CARIMBO PARA INFORMAR VALOR, NÚMERO DO CHEQUE E DATA (PAG. 61)",61,não examinado,identificado,,,pendente
